Indicator,PUBLISH STATES,Year,WHO region,World Bank income group,Country,Sex,Display Value,Numeric
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Afghanistan,Male,59.6,59.60036
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Afghanistan,Female,60.3,60.2972
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Afghanistan,Both sexes,59.9,59.94055
Life expectancy at birth (years),Published,2010,Africa,,Angola,Male,55.8,55.77834
Life expectancy at birth (years),Published,2010,Africa,,Angola,Female,60.5,60.52821
Life expectancy at birth (years),Published,2010,Africa,,Angola,Both sexes,58.1,58.06943
Life expectancy at birth (years),Published,2015,Africa,,Angola,Both sexes,61.7,61.71907
Life expectancy at birth (years),Published,2015,Europe,,Albania,Male,76.1,76.1022
Life expectancy at birth (years),Published,2015,Europe,,Albania,Female,79.7,79.68682
Life expectancy at birth (years),Published,2015,Europe,,Albania,Both sexes,77.8,77.84428
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,United Arab Emirates,Male,74.3,74.25413
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,United Arab Emirates,Female,77.8,77.84315
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,United Arab Emirates,Both sexes,76.1,76.07952
Life expectancy at birth (years),Published,2019,Americas,,Argentina,Male,73.5,73.5108
Life expectancy at birth (years),Published,2019,Americas,,Argentina,Female,79.5,79.50281
Life expectancy at birth (years),Published,2019,Americas,,Argentina,Both sexes,76.6,76.57514
Life expectancy at birth (years),Published,2019,Europe,,Armenia,Male,72.5,72.48704
Life expectancy at birth (years),Published,2019,Europe,,Armenia,Female,79.2,79.16326
Life expectancy at birth (years),Published,2000,Europe,,Armenia,Both sexes,71.9,71.88136
Life expectancy at birth (years),Published,2000,Americas,,Antigua and Barbuda,Male,72,71.99642
Life expectancy at birth (years),Published,2000,Americas,,Antigua and Barbuda,Female,77,76.95264
Life expectancy at birth (years),Published,2000,Americas,,Antigua and Barbuda,Both sexes,74.6,74.56184
Life expectancy at birth (years),Published,2000,Western Pacific,,Australia,Male,77.1,77.12505
Life expectancy at birth (years),Published,2000,Western Pacific,,Australia,Female,82.2,82.24073
Life expectancy at birth (years),Published,2010,Western Pacific,,Australia,Both sexes,81.9,81.9043
Life expectancy at birth (years),Published,2010,Europe,,Austria,Male,77.6,77.64973
Life expectancy at birth (years),Published,2010,Europe,,Austria,Female,83,82.98865
Life expectancy at birth (years),Published,2010,Europe,,Austria,Both sexes,80.4,80.3856
Life expectancy at birth (years),Published,2010,Europe,,Azerbaijan,Male,66.3,66.28625
Life expectancy at birth (years),Published,2010,Europe,,Azerbaijan,Female,71.8,71.82773
Life expectancy at birth (years),Published,2015,Europe,,Azerbaijan,Both sexes,70.7,70.6707
Life expectancy at birth (years),Published,2015,Africa,,Burundi,Male,59.8,59.83564
Life expectancy at birth (years),Published,2015,Africa,,Burundi,Female,64.3,64.26167
Life expectancy at birth (years),Published,2015,Africa,,Burundi,Both sexes,62,62.04675
Life expectancy at birth (years),Published,2015,Europe,,Belgium,Male,78.5,78.48286
Life expectancy at birth (years),Published,2015,Europe,,Belgium,Female,82.9,82.86372
Life expectancy at birth (years),Published,2019,Europe,,Belgium,Female,83.5,83.50694
Life expectancy at birth (years),Published,2019,Europe,,Belgium,Both sexes,81.4,81.42305
Life expectancy at birth (years),Published,2019,Africa,,Benin,Male,61.2,61.19024
Life expectancy at birth (years),Published,2019,Africa,,Benin,Female,65.7,65.66406
Life expectancy at birth (years),Published,2019,Africa,,Benin,Both sexes,63.4,63.42606
Life expectancy at birth (years),Published,2019,Africa,,Burkina Faso,Male,60.1,60.06457
Life expectancy at birth (years),Published,2000,Africa,,Burkina Faso,Both sexes,51.6,51.64145
Life expectancy at birth (years),Published,2000,South-East Asia,,Bangladesh,Male,64.1,64.0705
Life expectancy at birth (years),Published,2000,South-East Asia,,Bangladesh,Female,67.4,67.35784
Life expectancy at birth (years),Published,2000,South-East Asia,,Bangladesh,Both sexes,65.6,65.58728
Life expectancy at birth (years),Published,2000,Europe,,Bulgaria,Male,68.4,68.40388
Life expectancy at birth (years),Published,2000,Europe,,Bulgaria,Female,75,74.96658
Life expectancy at birth (years),Published,2010,Europe,,Bulgaria,Both sexes,73.6,73.64205
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Bahrain,Male,73.8,73.8488
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Bahrain,Female,75.3,75.34072
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Bahrain,Both sexes,74.5,74.51688
Life expectancy at birth (years),Published,2010,Americas,,Bahamas,Male,69.6,69.64163
Life expectancy at birth (years),Published,2015,Americas,,Bahamas,Female,76.1,76.07729
Life expectancy at birth (years),Published,2015,Americas,,Bahamas,Both sexes,72.9,72.91566
Life expectancy at birth (years),Published,2015,Europe,,Bosnia and Herzegovina,Male,73.9,73.94138
Life expectancy at birth (years),Published,2015,Europe,,Bosnia and Herzegovina,Female,78.6,78.64929
Life expectancy at birth (years),Published,2015,Europe,,Bosnia and Herzegovina,Both sexes,76.3,76.31874
Life expectancy at birth (years),Published,2015,Europe,,Belarus,Male,68.6,68.55762
Life expectancy at birth (years),Published,2019,Europe,,Belarus,Female,79.6,79.62104
Life expectancy at birth (years),Published,2019,Europe,,Belarus,Both sexes,74.8,74.80977
Life expectancy at birth (years),Published,2019,Americas,,Belize,Male,71.4,71.36353
Life expectancy at birth (years),Published,2019,Americas,,Belize,Female,77.8,77.76621
Life expectancy at birth (years),Published,2019,Americas,,Belize,Both sexes,74.4,74.40823
Life expectancy at birth (years),Published,2019,Americas,,Bolivia (Plurinational State of),Male,71.1,71.14804
Life expectancy at birth (years),Published,2000,Americas,,Bolivia (Plurinational State of),Female,67.2,67.24576
Life expectancy at birth (years),Published,2000,Americas,,Bolivia (Plurinational State of),Both sexes,66,66.01998
Life expectancy at birth (years),Published,2000,Americas,,Brazil,Male,67.9,67.898
Life expectancy at birth (years),Published,2000,Americas,,Brazil,Female,75.2,75.18223
Life expectancy at birth (years),Published,2000,Americas,,Brazil,Both sexes,71.5,71.46612
Life expectancy at birth (years),Published,2000,Americas,,Barbados,Male,72.1,72.12577
Life expectancy at birth (years),Published,2010,Americas,,Barbados,Female,77.2,77.20181
Life expectancy at birth (years),Published,2010,Americas,,Barbados,Both sexes,75.9,75.88476
Life expectancy at birth (years),Published,2010,Western Pacific,,Brunei Darussalam,Male,73.3,73.34856
Life expectancy at birth (years),Published,2010,Western Pacific,,Brunei Darussalam,Female,75.8,75.84433
Life expectancy at birth (years),Published,2010,Western Pacific,,Brunei Darussalam,Both sexes,74.6,74.567
Life expectancy at birth (years),Published,2010,South-East Asia,,Bhutan,Male,69.9,69.86668
Life expectancy at birth (years),Published,2015,South-East Asia,,Bhutan,Female,73.5,73.45096
Life expectancy at birth (years),Published,2015,South-East Asia,,Bhutan,Both sexes,72.2,72.15268
Life expectancy at birth (years),Published,2015,Africa,,Botswana,Male,57.8,57.8261
Life expectancy at birth (years),Published,2015,Africa,,Botswana,Female,63.9,63.9269
Life expectancy at birth (years),Published,2015,Africa,,Botswana,Both sexes,60.9,60.92577
Life expectancy at birth (years),Published,2019,Africa,,Central African Republic,Male,50.2,50.20675
Life expectancy at birth (years),Published,2019,Africa,,Central African Republic,Female,56.3,56.25684
Life expectancy at birth (years),Published,2019,Africa,,Central African Republic,Both sexes,53.1,53.09729
Life expectancy at birth (years),Published,2019,Americas,,Canada,Male,80.4,80.3959
Life expectancy at birth (years),Published,2019,Americas,,Canada,Female,84.1,84.05355
Life expectancy at birth (years),Published,2019,Americas,,Canada,Both sexes,82.2,82.23827
Life expectancy at birth (years),Published,2000,Europe,,Switzerland,Female,82.3,82.34627
Life expectancy at birth (years),Published,2000,Europe,,Switzerland,Both sexes,79.7,79.71678
Life expectancy at birth (years),Published,2000,Americas,,Chile,Male,73.6,73.63732
Life expectancy at birth (years),Published,2000,Americas,,Chile,Female,79.8,79.76972
Life expectancy at birth (years),Published,2000,Americas,,Chile,Both sexes,76.8,76.77242
Life expectancy at birth (years),Published,2000,Western Pacific,,China,Male,69.3,69.34029
Life expectancy at birth (years),Published,2010,Western Pacific,,China,Male,72.3,72.26303
Life expectancy at birth (years),Published,2010,Western Pacific,,China,Female,77.9,77.9407
Life expectancy at birth (years),Published,2010,Western Pacific,,China,Both sexes,74.9,74.88925
Life expectancy at birth (years),Published,2010,Africa,,Côte d'Ivoire,Male,54.8,54.8072
Life expectancy at birth (years),Published,2010,Africa,,Côte d'Ivoire,Female,58.9,58.93549
Life expectancy at birth (years),Published,2010,Africa,,Côte d'Ivoire,Both sexes,56.6,56.61696
Life expectancy at birth (years),Published,2015,Africa,,Cameroon,Male,57.3,57.28968
Life expectancy at birth (years),Published,2015,Africa,,Cameroon,Female,61,60.98839
Life expectancy at birth (years),Published,2015,Africa,,Cameroon,Both sexes,59.1,59.11311
Life expectancy at birth (years),Published,2015,Africa,,Democratic Republic of the Congo,Male,58.3,58.25044
Life expectancy at birth (years),Published,2015,Africa,,Democratic Republic of the Congo,Female,62.7,62.73359
Life expectancy at birth (years),Published,2015,Africa,,Democratic Republic of the Congo,Both sexes,60.4,60.44355
Life expectancy at birth (years),Published,2019,Africa,,Congo,Male,63.8,63.80726
Life expectancy at birth (years),Published,2019,Africa,,Congo,Female,65.6,65.61142
Life expectancy at birth (years),Published,2019,Africa,,Congo,Both sexes,64.7,64.73853
Life expectancy at birth (years),Published,2019,Americas,,Colombia,Male,76.7,76.6921
Life expectancy at birth (years),Published,2019,Americas,,Colombia,Female,81.9,81.87032
Life expectancy at birth (years),Published,2019,Americas,,Colombia,Both sexes,79.3,79.31356
Life expectancy at birth (years),Published,2000,Africa,,Comoros,Male,60.2,60.15296
Life expectancy at birth (years),Published,2000,Africa,,Comoros,Female,62.9,62.85692
Life expectancy at birth (years),Published,2000,Africa,,Comoros,Both sexes,61.5,61.50557
Life expectancy at birth (years),Published,2000,Africa,,Cabo Verde,Male,66.9,66.88631
Life expectancy at birth (years),Published,2000,Africa,,Cabo Verde,Female,74.6,74.61189
Life expectancy at birth (years),Published,2000,Africa,,Cabo Verde,Both sexes,71,70.97066
Life expectancy at birth (years),Published,2010,Americas,,Costa Rica,Male,77,76.98176
Life expectancy at birth (years),Published,2010,Americas,,Costa Rica,Female,82.2,82.21595
Life expectancy at birth (years),Published,2010,Americas,,Costa Rica,Both sexes,79.6,79.55984
Life expectancy at birth (years),Published,2010,Americas,,Cuba,Male,75.5,75.54917
Life expectancy at birth (years),Published,2010,Americas,,Cuba,Female,79.8,79.82246
Life expectancy at birth (years),Published,2010,Americas,,Cuba,Both sexes,77.7,77.65455
Life expectancy at birth (years),Published,2015,Europe,,Cyprus,Male,79.9,79.88566
Life expectancy at birth (years),Published,2015,Europe,,Cyprus,Female,84.1,84.11644
Life expectancy at birth (years),Published,2015,Europe,,Cyprus,Both sexes,82,82.01412
Life expectancy at birth (years),Published,2015,Europe,,Czechia,Male,75.6,75.56622
Life expectancy at birth (years),Published,2015,Europe,,Czechia,Female,81.3,81.29614
Life expectancy at birth (years),Published,2019,Europe,,Czechia,Both sexes,79.1,79.1303
Life expectancy at birth (years),Published,2019,Europe,,Germany,Male,78.7,78.72021
Life expectancy at birth (years),Published,2019,Europe,,Germany,Female,84.8,84.77129
Life expectancy at birth (years),Published,2019,Europe,,Germany,Both sexes,81.7,81.72252
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Djibouti,Male,64.1,64.09922
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Djibouti,Female,67.8,67.77696
Life expectancy at birth (years),Published,2000,Europe,,Denmark,Male,74.7,74.66221
Life expectancy at birth (years),Published,2000,Europe,,Denmark,Female,79.1,79.1277
Life expectancy at birth (years),Published,2000,Europe,,Denmark,Both sexes,76.9,76.93244
Life expectancy at birth (years),Published,2000,Americas,,Dominican Republic,Male,70.2,70.22039
Life expectancy at birth (years),Published,2000,Americas,,Dominican Republic,Female,76.7,76.66166
Life expectancy at birth (years),Published,2000,Americas,,Dominican Republic,Both sexes,73.2,73.2209
Life expectancy at birth (years),Published,2010,Americas,,Dominican Republic,Both sexes,73.2,73.16863
Life expectancy at birth (years),Published,2010,Africa,,Algeria,Male,75,74.95451
Life expectancy at birth (years),Published,2010,Africa,,Algeria,Female,76.8,76.79234
Life expectancy at birth (years),Published,2010,Africa,,Algeria,Both sexes,75.9,75.85488
Life expectancy at birth (years),Published,2010,Americas,,Ecuador,Male,72.3,72.30629
Life expectancy at birth (years),Published,2010,Americas,,Ecuador,Female,77.9,77.86227
Life expectancy at birth (years),Published,2015,Americas,,Ecuador,Both sexes,77.2,77.18231
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,Egypt,Male,68.2,68.21907
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,Egypt,Female,72.9,72.8947
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,Egypt,Both sexes,70.5,70.4922
Life expectancy at birth (years),Published,2015,Africa,,Eritrea,Male,59.4,59.40457
Life expectancy at birth (years),Published,2015,Africa,,Eritrea,Female,65.4,65.44547
Life expectancy at birth (years),Published,2019,Africa,,Eritrea,Both sexes,64.1,64.08144
Life expectancy at birth (years),Published,2019,Europe,,Spain,Male,80.7,80.68297
Life expectancy at birth (years),Published,2019,Europe,,Spain,Female,85.7,85.68045
Life expectancy at birth (years),Published,2019,Europe,,Spain,Both sexes,83.2,83.21875
Life expectancy at birth (years),Published,2019,Europe,,Estonia,Male,74.7,74.69601
Life expectancy at birth (years),Published,2000,Europe,,Estonia,Both sexes,70.9,70.94411
Life expectancy at birth (years),Published,2000,Africa,,Ethiopia,Male,49.5,49.52137
Life expectancy at birth (years),Published,2000,Africa,,Ethiopia,Female,51.7,51.69564
Life expectancy at birth (years),Published,2000,Africa,,Ethiopia,Both sexes,50.6,50.57764
Life expectancy at birth (years),Published,2000,Europe,,Finland,Male,74.1,74.12837
Life expectancy at birth (years),Published,2000,Europe,,Finland,Female,80.9,80.91476
Life expectancy at birth (years),Published,2010,Europe,,Finland,Both sexes,79.9,79.87524
Life expectancy at birth (years),Published,2010,Western Pacific,,Fiji,Male,65.9,65.86063
Life expectancy at birth (years),Published,2010,Western Pacific,,Fiji,Female,69.5,69.52204
Life expectancy at birth (years),Published,2010,Western Pacific,,Fiji,Both sexes,67.6,67.60218
Life expectancy at birth (years),Published,2010,Europe,,France,Male,78,77.96297
Life expectancy at birth (years),Published,2010,Europe,,France,Female,84.3,84.34424
Life expectancy at birth (years),Published,2015,Europe,,France,Female,84.7,84.71786
Life expectancy at birth (years),Published,2015,Europe,,France,Both sexes,81.9,81.9132
Life expectancy at birth (years),Published,2015,Western Pacific,,Micronesia (Federated States of),Male,60.1,60.14181
Life expectancy at birth (years),Published,2015,Western Pacific,,Micronesia (Federated States of),Female,65.7,65.66338
Life expectancy at birth (years),Published,2015,Western Pacific,,Micronesia (Federated States of),Both sexes,62.7,62.74269
Life expectancy at birth (years),Published,2015,Africa,,Gabon,Male,62.1,62.1062
Life expectancy at birth (years),Published,2019,Africa,,Gabon,Female,69.7,69.73158
Life expectancy at birth (years),Published,2019,Africa,,Gabon,Both sexes,66.5,66.46912
Life expectancy at birth (years),Published,2019,Europe,,United Kingdom of Great Britain and Northern Ireland,Male,79.8,79.78545
Life expectancy at birth (years),Published,2019,Europe,,United Kingdom of Great Britain and Northern Ireland,Female,83,82.99003
Life expectancy at birth (years),Published,2019,Europe,,United Kingdom of Great Britain and Northern Ireland,Both sexes,81.4,81.40353
Life expectancy at birth (years),Published,2019,Europe,,Georgia,Male,68.8,68.79258
Life expectancy at birth (years),Published,2000,Europe,,Georgia,Both sexes,69.4,69.40902
Life expectancy at birth (years),Published,2000,Africa,,Ghana,Male,57.7,57.74979
Life expectancy at birth (years),Published,2000,Africa,,Ghana,Female,60.8,60.7991
Life expectancy at birth (years),Published,2000,Africa,,Ghana,Both sexes,59.2,59.2442
Life expectancy at birth (years),Published,2000,Africa,,Guinea,Male,53.1,53.10465
Life expectancy at birth (years),Published,2000,Africa,,Guinea,Female,55.3,55.29761
Life expectancy at birth (years),Published,2010,Africa,,Guinea,Female,59.3,59.25798
Life expectancy at birth (years),Published,2010,Africa,,Guinea,Both sexes,58.1,58.06684
Life expectancy at birth (years),Published,2010,Africa,,Gambia,Male,60.6,60.59109
Life expectancy at birth (years),Published,2010,Africa,,Gambia,Female,64.5,64.46643
Life expectancy at birth (years),Published,2010,Africa,,Gambia,Both sexes,62.4,62.42088
Life expectancy at birth (years),Published,2010,Africa,,Guinea-Bissau,Male,53,53.04755
Life expectancy at birth (years),Published,2015,Africa,,Guinea-Bissau,Female,60.8,60.81285
Life expectancy at birth (years),Published,2015,Africa,,Guinea-Bissau,Both sexes,58.2,58.23238
Life expectancy at birth (years),Published,2015,Africa,,Equatorial Guinea,Male,60.3,60.2785
Life expectancy at birth (years),Published,2015,Africa,,Equatorial Guinea,Female,61.8,61.83462
Life expectancy at birth (years),Published,2015,Africa,,Equatorial Guinea,Both sexes,61.1,61.12561
Life expectancy at birth (years),Published,2015,Europe,,Greece,Male,77.8,77.84715
Life expectancy at birth (years),Published,2019,Europe,,Greece,Female,83.6,83.56782
Life expectancy at birth (years),Published,2019,Europe,,Greece,Both sexes,81.1,81.09948
Life expectancy at birth (years),Published,2019,Americas,,Grenada,Male,70.6,70.63074
Life expectancy at birth (years),Published,2019,Americas,,Grenada,Female,75.3,75.33178
Life expectancy at birth (years),Published,2019,Americas,,Grenada,Both sexes,72.9,72.88402
Life expectancy at birth (years),Published,2000,Americas,,Guatemala,Female,70.3,70.2701
Life expectancy at birth (years),Published,2000,Americas,,Guatemala,Both sexes,66.8,66.78309
Life expectancy at birth (years),Published,2000,Americas,,Guyana,Male,59.8,59.81106
Life expectancy at birth (years),Published,2000,Americas,,Guyana,Female,66.5,66.505
Life expectancy at birth (years),Published,2000,Americas,,Guyana,Both sexes,63,62.96075
Life expectancy at birth (years),Published,2000,Americas,,Honduras,Male,69.1,69.10293
Life expectancy at birth (years),Published,2010,Americas,,Honduras,Female,72.1,72.10579
Life expectancy at birth (years),Published,2010,Americas,,Honduras,Both sexes,71.1,71.14799
Life expectancy at birth (years),Published,2010,Europe,,Croatia,Male,73.4,73.41486
Life expectancy at birth (years),Published,2010,Europe,,Croatia,Female,79.9,79.909
Life expectancy at birth (years),Published,2010,Europe,,Croatia,Both sexes,76.7,76.71532
Life expectancy at birth (years),Published,2010,Americas,,Haiti,Male,28,27.96683
Life expectancy at birth (years),Published,2015,Americas,,Haiti,Male,62.1,62.08983
Life expectancy at birth (years),Published,2015,Americas,,Haiti,Female,63.1,63.12614
Life expectancy at birth (years),Published,2015,Americas,,Haiti,Both sexes,62.6,62.60823
Life expectancy at birth (years),Published,2015,Europe,,Hungary,Male,72.2,72.16216
Life expectancy at birth (years),Published,2015,Europe,,Hungary,Female,78.7,78.73118
Life expectancy at birth (years),Published,2015,Europe,,Hungary,Both sexes,75.6,75.56887
Life expectancy at birth (years),Published,2019,South-East Asia,,Indonesia,Male,69.4,69.40128
Life expectancy at birth (years),Published,2019,South-East Asia,,Indonesia,Female,73.3,73.29897
Life expectancy at birth (years),Published,2019,South-East Asia,,Indonesia,Both sexes,71.3,71.30966
Life expectancy at birth (years),Published,2019,South-East Asia,,India,Male,69.5,69.51722
Life expectancy at birth (years),Published,2019,South-East Asia,,India,Female,72.2,72.16656
Life expectancy at birth (years),Published,2019,South-East Asia,,India,Both sexes,70.8,70.78756
Life expectancy at birth (years),Published,2000,Europe,,Ireland,Female,79,79.02361
Life expectancy at birth (years),Published,2000,Europe,,Ireland,Both sexes,76.4,76.41336
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,,Iran (Islamic Republic of),Male,70.7,70.72992
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,,Iran (Islamic Republic of),Female,74.6,74.61162
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,,Iran (Islamic Republic of),Both sexes,72.6,72.56416
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Iraq,Male,67.8,67.75845
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Iraq,Female,72.8,72.79007
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Iraq,Both sexes,70.2,70.24248
Life expectancy at birth (years),Published,2010,Europe,,Iceland,Male,80,80.02026
Life expectancy at birth (years),Published,2010,Europe,,Iceland,Female,83.3,83.33782
Life expectancy at birth (years),Published,2010,Europe,,Iceland,Both sexes,81.7,81.68404
Life expectancy at birth (years),Published,2015,Europe,,Israel,Male,80,79.95578
Life expectancy at birth (years),Published,2015,Europe,,Israel,Female,83.8,83.79334
Life expectancy at birth (years),Published,2015,Europe,,Israel,Both sexes,81.9,81.93443
Life expectancy at birth (years),Published,2015,Europe,,Italy,Male,80,80.00161
Life expectancy at birth (years),Published,2015,Europe,,Italy,Female,84.3,84.25867
Life expectancy at birth (years),Published,2015,Europe,,Italy,Both sexes,82.2,82.20576
Life expectancy at birth (years),Published,2019,Europe,,Italy,Both sexes,83,82.97414
Life expectancy at birth (years),Published,2019,Americas,,Jamaica,Male,74.4,74.35626
Life expectancy at birth (years),Published,2019,Americas,,Jamaica,Female,77.7,77.68497
Life expectancy at birth (years),Published,2019,Americas,,Jamaica,Both sexes,76,75.97828
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Jordan,Male,77,77.02438
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Jordan,Female,78.8,78.78378
Life expectancy at birth (years),Published,2000,Western Pacific,,Japan,Male,77.7,77.68712
Life expectancy at birth (years),Published,2000,Western Pacific,,Japan,Female,84.4,84.37168
Life expectancy at birth (years),Published,2000,Western Pacific,,Japan,Both sexes,81.1,81.12236
Life expectancy at birth (years),Published,2000,Europe,,Kazakhstan,Male,57.6,57.58092
Life expectancy at birth (years),Published,2000,Europe,,Kazakhstan,Female,69.2,69.15388
Life expectancy at birth (years),Published,2000,Europe,,Kazakhstan,Both sexes,63.1,63.14555
Life expectancy at birth (years),Published,2010,Africa,,Kenya,Male,59.2,59.23307
Life expectancy at birth (years),Published,2010,Africa,,Kenya,Female,63.1,63.07304
Life expectancy at birth (years),Published,2010,Africa,,Kenya,Both sexes,61.2,61.17774
Life expectancy at birth (years),Published,2010,Europe,,Kyrgyzstan,Male,65.2,65.2009
Life expectancy at birth (years),Published,2010,Europe,,Kyrgyzstan,Female,73.3,73.28658
Life expectancy at birth (years),Published,2010,Europe,,Kyrgyzstan,Both sexes,69.2,69.17432
Life expectancy at birth (years),Published,2015,Europe,,Kyrgyzstan,Both sexes,71.6,71.59398
Life expectancy at birth (years),Published,2015,Western Pacific,,Cambodia,Male,66.2,66.19556
Life expectancy at birth (years),Published,2015,Western Pacific,,Cambodia,Female,71.9,71.88922
Life expectancy at birth (years),Published,2015,Western Pacific,,Cambodia,Both sexes,69.2,69.17362
Life expectancy at birth (years),Published,2015,Western Pacific,,Kiribati,Male,55.1,55.13306
Life expectancy at birth (years),Published,2015,Western Pacific,,Kiribati,Female,61.4,61.36722
Life expectancy at birth (years),Published,2019,Western Pacific,,Kiribati,Both sexes,59.4,59.41902
Life expectancy at birth (years),Published,2019,Western Pacific,,Republic of Korea,Male,80.3,80.32455
Life expectancy at birth (years),Published,2019,Western Pacific,,Republic of Korea,Female,86.1,86.08791
Life expectancy at birth (years),Published,2019,Western Pacific,,Republic of Korea,Both sexes,83.3,83.3047
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Kuwait,Male,79.3,79.25072
Life expectancy at birth (years),Published,2019,Eastern Mediterranean,,Kuwait,Female,83.9,83.94704
Life expectancy at birth (years),Published,2000,Western Pacific,,Lao People's Democratic Republic,Male,56.3,56.27648
Life expectancy at birth (years),Published,2000,Western Pacific,,Lao People's Democratic Republic,Female,60.6,60.60456
Life expectancy at birth (years),Published,2000,Western Pacific,,Lao People's Democratic Republic,Both sexes,58.4,58.40971
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,,Lebanon,Male,73,73.02654
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,,Lebanon,Female,76.1,76.14052
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Lebanon,Both sexes,75.5,75.52657
Life expectancy at birth (years),Published,2010,Africa,,Liberia,Male,60.1,60.07106
Life expectancy at birth (years),Published,2010,Africa,,Liberia,Female,61.3,61.32251
Life expectancy at birth (years),Published,2010,Africa,,Liberia,Both sexes,60.7,60.70386
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Libya,Male,74.8,74.79205
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Libya,Female,77.3,77.30268
Life expectancy at birth (years),Published,2015,Eastern Mediterranean,,Libya,Both sexes,74.6,74.60217
Life expectancy at birth (years),Published,2015,Americas,,Saint Lucia,Male,71.8,71.82034
Life expectancy at birth (years),Published,2015,Americas,,Saint Lucia,Female,78.5,78.52065
Life expectancy at birth (years),Published,2015,Americas,,Saint Lucia,Both sexes,75,75.00793
Life expectancy at birth (years),Published,2015,South-East Asia,,Sri Lanka,Male,73,73.04675
Life expectancy at birth (years),Published,2015,South-East Asia,,Sri Lanka,Female,79.4,79.4123
Life expectancy at birth (years),Published,2019,South-East Asia,,Sri Lanka,Female,79.8,79.81407
Life expectancy at birth (years),Published,2019,South-East Asia,,Sri Lanka,Both sexes,76.9,76.86693
Life expectancy at birth (years),Published,2019,Africa,,Lesotho,Male,47.7,47.6613
Life expectancy at birth (years),Published,2019,Africa,,Lesotho,Female,54.2,54.23892
Life expectancy at birth (years),Published,2019,Africa,,Lesotho,Both sexes,50.7,50.74881
Life expectancy at birth (years),Published,2019,Europe,,Lithuania,Male,71.2,71.2347
Life expectancy at birth (years),Published,2000,Europe,,Lithuania,Both sexes,72,72.03902
Life expectancy at birth (years),Published,2000,Europe,,Luxembourg,Male,75.1,75.1468
Life expectancy at birth (years),Published,2000,Europe,,Luxembourg,Female,81.1,81.11469
Life expectancy at birth (years),Published,2000,Europe,,Luxembourg,Both sexes,78.2,78.2397
Life expectancy at birth (years),Published,2000,Europe,,Latvia,Male,64.6,64.60622
Life expectancy at birth (years),Published,2000,Europe,,Latvia,Female,75.6,75.56256
Life expectancy at birth (years),Published,2010,Europe,,Latvia,Both sexes,72.9,72.93502
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Morocco,Male,71.1,71.06863
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Morocco,Female,72.3,72.26922
Life expectancy at birth (years),Published,2010,Eastern Mediterranean,,Morocco,Both sexes,71.6,71.59913
Life expectancy at birth (years),Published,2010,Europe,,Republic of Moldova,Male,64.6,64.62362
Life expectancy at birth (years),Published,2015,Europe,,Republic of Moldova,Female,75,75.04539
Life expectancy at birth (years),Published,2015,Europe,,Republic of Moldova,Both sexes,71.1,71.13158
Life expectancy at birth (years),Published,2015,Africa,,Madagascar,Male,62.9,62.87302
Life expectancy at birth (years),Published,2015,Africa,,Madagascar,Female,65.5,65.50301
Life expectancy at birth (years),Published,2015,Africa,,Madagascar,Both sexes,64.2,64.18649
Life expectancy at birth (years),Published,2015,South-East Asia,,Maldives,Male,77.6,77.56042
Life expectancy at birth (years),Published,2019,South-East Asia,,Maldives,Female,80.8,80.76191
Life expectancy at birth (years),Published,2019,South-East Asia,,Maldives,Both sexes,79.6,79.59427
Life expectancy at birth (years),Published,2019,Americas,,Mexico,Male,73.1,73.12539
Life expectancy at birth (years),Published,2019,Americas,,Mexico,Female,78.9,78.86271
Life expectancy at birth (years),Published,2019,Americas,,Mexico,Both sexes,76,76.01043
Life expectancy at birth (years),Published,2019,Europe,,North Macedonia,Male,72.8,72.84443
